name,rarity,cost,effect,category,scaling,tags,image,archetype,strategy,test_idea,type,activation,unlock,probability,copyable,perishable,eternal,wiki_number
Business Card,Common,4,Played face cards have a 1 in 2 chance to give $2 when scored,Economy,no,aces|economy|face-cards|probability,Business_Card.png,Economy,Face cards flip coins for dollars — it wants face density (Pareidolia turns the whole deck into a payroll). Never a scorer; purely a payroll on cards you were playing anyway.,Track one ante: how many $ did face-card coin flips actually pay vs. a flat economy joker?,Economy,On Scored,,1 in 2,1,1,1,42
Campfire,Rare,9,"This Joker gains X0.25 Mult for each card sold, resets when Boss Blind is defeated",xMult,yes,blind-aware|joker-synergy|scaling|xmult,Campfire.png,Scaling Engine,"Gains ×0.5 per card SOLD and resets after each boss — a rhythm joker. Sell aggressively right before boss blinds, cash the multiplier, accept the reset as the price.",Enter Campfire's current × in the optimizer before a boss — how many sales does it take to beat a static ×2?,Multiplicative Mult,Independent,,,1,1,1,105
Canio,Legendary,20,This Joker gains X1 Mult when a face card is destroyed,xMult,no,aces|destruction|face-cards|xmult,Canio.png,Scaling Engine,Legendary that grows ×1 for every face card destroyed. Pairs with card-destroying tarots/glass faces — you're burning your deck to feed a permanent multiplier.,Enter Canio's current × after each destruction — plot how fast controlled demolition scales vs. Hologram.,Multiplicative Mult,Mixed,Find this Joker from the Soul card.,,1,1,1,146
Card Sharp,Uncommon,6,X3 Mult if played poker hand has already been played this round,xMult,no,xmult,Card_Sharp.png,xMult Payoff,"×3 if you replay a hand type already played this round. Multi-hand rounds only — play a cheap flush to 'prime' it, then the real flush cashes ×3.",Optimizer: cheap primer hand + primed ×3 real hand vs. two normal hands — total the round both ways.,Multiplicative Mult,Independent,,,1,1,1,62
Cartomancer,Uncommon,6,Create a Tarot card when Blind is selected (Must have room),Utility,no,blind-aware|tarot,Cartomancer.png,Consumable Engine,"A free Tarot every blind keeps your sculpting engine fed. Value scales with how well you use Tarots — it's a pick for players with a plan, dead weight without one.",Count one run: Tarots consumed via Cartomancer vs. bought — what did the free stream let you skip buying?,Effect,On Blind Select,Discover every Tarot card.,,1,1,1,142
Castle,Uncommon,6,"This Joker gains +3 Chips per discarded [suit] card, suit changes every round",+Chips,yes,+chips|discards|joker-synergy|scaling|suit:Spades,Castle.png,Scaling Engine,Gains chips per discarded card of a chosen suit (changes each round). Discards become deposits — sculpt discards toward the suit and it becomes a monster chip battery.,Enter Castle's current chips in the optimizer each ante — is it outpacing Blue Joker's shrinking battery yet?,Chips,Mixed,,,1,0,1,103
Cavendish,Common,4,"X3 Mult, 1 in 1000 chance this card is destroyed at the end of round",xMult,no,destruction|probability|xmult,Cavendish.png,xMult Payoff,"×3 with a 1-in-1000 self-destruct: statistically immortal, emotionally terrifying. Take the ×3 and don't think about it.",Optimizer: measure what flat ×3 does to your best hand — then decide what odds of loss you'd actually accept for it.,Multiplicative Mult,Independent,,1 in 1000,1,1,0,61
Ceremonial Dagger,Uncommon,6,"When Blind is selected, destroy Joker to the right and permanently add double its sell value to this Mult",Economy,no,blind-aware|destruction|economy,Ceremonial_Dagger.png,Scaling Engine,Eats the joker to its right on blind select and banks double its sell value as +Mult. Feed it cheap shop jokers like a wood chipper — position and timing are the skill.,Enter Dagger's current +Mult in the optimizer — how many $2 sacrifices equal one Rare ×Mult purchase?,Additive Mult,Independent,,,1,0,1,21
Certificate,Uncommon,6,"When round begins, add a random playing card with a random seal to your hand",Utility,no,seals,Certificate.png,Deck Sculptor,Adds a random playing card with a seal each round — free deck inflation with upside. Anti-synergy with thin-deck plans; fine in wide 'value pile' decks.,"Theory: after 4 antes, Certificate's added cards helped more hands than they diluted. Review your run log.",Effect,N/A (Passive),Have a Gold playing card with a Gold Seal,,1,1,1,112
Chaos the Clown,Common,4,1 free Reroll per shop,Utility,yes,scaling|shop,Chaos_the_Clown.png,Economy,"One free reroll per shop is quietly one of the best economy effects in the game — reroll equity every single shop, forever.",Track 3 shops: did the free reroll find something you'd have paid $5+ to see? That's its real yield.,Effect,N/A (Passive),,,0,1,1,30
Chicot,Legendary,20,Disables effect of every Boss Blind,Utility,no,blind-aware,Chicot.png,Utility/Glue,Legendary that disables boss blind effects — a skeleton key. Its value is exactly the value of the boss you'd otherwise lose to; priceless against your build's counter.,List which boss effects actually kill your archetype — Chicot is worth its slot only if that list is long.,Effect,On Blind Select,Find this Joker from the Soul card.,,0,1,1,149
Clever Joker,Common,4,+80 Chips if played hand contains a Two Pair,+Chips,no,+chips|hand:Four of a Kind,Clever_Joker.png,Chip Battery,"+80 chips on Two Pair hands — budget glue for pair-spam builds before real engines arrive. Cheap, honest, replaceable.",Optimizer: Two Pair + Clever vs. a bare Three of a Kind — which clears an early blind cheaper?,Chips,Independent,,,1,1,1,13
Cloud 9,Uncommon,7,Earn $1 for each 9 in your full deck at end of round,Economy,no,deck-size|economy,Cloud_9.png,Economy,$1 per 9 in your deck at round end — a savings bond on cards you might never play. Keep your 9s and it pays rent; thin them and it's dead.,Count your 9s; multiply by remaining antes. Compare that total against just selling Cloud 9 for quick cash.,Economy,N/A (Passive),,,0,1,1,73
Constellation,Uncommon,6,This Joker gains X0.1 Mult every time a Planet card is used,xMult,yes,planet|scaling|xmult,Constellation.png,Scaling Engine,Gains ×0.1 per Planet used — the definitive slow-burn engine. With Astronomer or celestial packs it snowballs; buy planets you don't even need just to feed it.,Enter its current × each ante in the optimizer — find the ante where Constellation passes a flat ×2.,Multiplicative Mult,Independent,,,1,0,1,55
Crafty Joker,Common,4,+80 Chips if played hand contains a Flush,+Chips,no,+chips|hand:Flush,Crafty_Joker.png,Chip Battery,+80 chips on Flushes — early flush-build filler that bridges you to real multipliers. Sell without sentiment when the engine arrives.,Optimizer: at what Mult level does dropping Crafty for a ×1.5 joker become correct on your flush?,Chips,Independent,,,1,1,1,15
Crazy Joker,Common,4,+12 Mult if played hand contains a Straight,+Mult,no,+mult|hand:Straight|straights,Crazy_Joker.png,Mult Battery,+12 Mult on Straights — the straight build's starter engine. Straights are harder to assemble; make sure Shortcut/Four Fingers support exists before committing.,Optimizer: your straight + Crazy vs. your flush + nothing — is the straight line actually ahead yet?,Additive Mult,Independent,,,1,1,1,9
Credit Card,Common,1,Go up to -$20 in debt,Economy,no,economy,Credit_Card.png,Economy,"Go up to -$20: it's a loan, not income. Real use is tempo — grabbing the build-defining joker NOW instead of two shops later. Interest math punishes staying negative.",Theory: going -$15 for a key engine one ante early beats staying solvent. Try both across two runs and compare antes reached.,Economy,N/A (Passive),,,0,1,1,20
DNA,Rare,8,"If first hand of round has only 1 card, add a permanent copy to deck and draw it to hand",Utility,no,copycat|deck-size|hand-timing,DNA.png,Deck Sculptor,"Play exactly one card on your first hand and it's permanently duplicated. A copy machine for your best card — steel Kings, glass Aces, lucky cards. Slow, deliberate, exponential.",Theory: 3 antes of DNA-copying one steel King beats most Rare jokers. Track your King count and Baron math.,Effect,On Played,,,1,1,1,51
Delayed Gratification,Common,4,Earn $2 per discard if no discards are used by end of the round,Economy,yes,discards|economy|scaling,Delayed_Gratification.png,Economy,"$2 per discard if you use none — pays you to not dig. Competes directly with Banner for the same discipline; take one, not both, unless economy is the whole plan.",One ante of zero discards: total the payout vs. the blinds where digging would have found a better hand.,Economy,N/A (Passive),,,0,1,1,35
Devious Joker,Common,4,+100 Chips if played hand contains a Straight,+Chips,no,+chips|hand:Straight|straights,Devious_Joker.png,Chip Battery,+100 chips on Straights — same job as Crafty but for the straight lane. Filler that buys time.,Optimizer: Devious on a lvl-2 straight vs. nothing on a lvl-3 flush — which line is actually winning?,Chips,Independent,,,1,1,1,14
Diet Cola,Uncommon,6,Sell this card to create a free Double Tag,Utility,no,,Diet_Cola.png,Utility/Glue,Sell it for a free Double Tag — it's a coupon disguised as a joker. The skill is timing the sale to double a tag you actually want.,"Which tag would you double right now? If the answer is 'none', Diet Cola is just an empty slot.",Effect,N/A (Passive),,,1,1,0,94
Driver's License,Rare,7,X3 Mult if you have at least 16 Enhanced cards in your full deck,xMult,no,deck-size|enhancements|xmult,Driver's_License.png,xMult Payoff,"×3 if your deck holds 16+ enhanced cards — the payoff for going all-in on Tarot sculpting. A win condition for enhancement decks, a fantasy otherwise.",Count your enhanced cards. Under 10? Estimate the shops needed to hit 16 before committing the slot.,Multiplicative Mult,Independent,Enhance 16 cards in your deck,,1,1,1,141
Droll Joker,Common,4,+10 Mult if played hand contains a Flush,+Mult,no,+mult|hand:Flush,Droll_Joker.png,Mult Battery,"+10 Mult on Flushes — the flush starter kit. Standard early buy, standard mid-game sell.",Optimizer: Droll vs. The Tribe (×2) on your current flush — find the exact mult where ×2 overtakes +10.,Additive Mult,Independent,,,1,1,1,10
Drunkard,Common,4,+1 discard each round,Utility,no,discards,Drunkard.png,Utility/Glue,"+1 discard per round: more selection every single round. Quietly enables combo digging and Castle/discard synergies — better than it looks, worse than a scorer.",Theory: the extra discard converts ~1 losing blind per 2 antes into a win. Watch your close calls.,Effect,N/A (Passive),,,0,1,1,88
Dusk,Uncommon,5,Retrigger all played cards in final hand of the round,Retrigger,no,hand-timing|retrigger,Dusk.png,Retrigger,"Retriggers every played card on your final hand — a closer that doubles card-level value (steel, per-card jokers) when it matters most. Sequence rounds to end on your payoff hand.",Toggle 'final hand' with Dusk in the optimizer — measure the retrigger premium on your standard play.,Retrigger,On Scored,,,1,1,1,28
Egg,Common,4,Gains $3 of sell value at end of round,Economy,yes,economy|scaling,Egg.png,Economy,"Gains $3 sell value each round — a savings account you eventually crack. The discipline is remembering it's an investment, not a keeper.",Decide the sale ante in advance (usually when a real joker appears). Compare its total yield to interest income.,Economy,N/A (Passive),,,0,1,1,46
Erosion,Uncommon,6,+4 Mult for each card below [the deck's starting size] in your full deck,+Mult,no,+mult|deck-size,Erosion.png,Mult Battery,"+4 Mult for each card BELOW your deck's starting size — pays you to shred your own deck. Glass cards, Hanged Man, and purposeful destruction turn it into a real engine.","After each destruction, update the count: at -6 cards it's +24 Mult. In the optimizer, find where it beats your ×1.5.",Additive Mult,Independent,,,1,1,1,81
Even Steven,Common,4,"Played cards with even rank give +4 Mult when scored (10, 8, 6, 4, 2)",+Mult,no,+mult,Even_Steven.png,Mult Battery,+4 Mult per scored even card — a parity build's backbone. Sculpt toward 2/4/6/8/10 and every hand feeds it; ignore parity and it's a coin-flip bonus.,Optimizer: an all-even Two Pair vs. a mixed Full House — parity discipline vs. raw hand rank.,Additive Mult,On Scored,,,1,1,1,39
Faceless Joker,Common,4,Earn $5 if 3 or more face cards are discarded at the same time,Economy,no,aces|discards|economy|face-cards,Faceless_Joker.png,Economy,"$5 when you discard 3+ face cards at once — turns dead face cards into payroll. Wants a fat, facey deck you're willing to dump from.",One ante: how many triple-face discards did you actually assemble? Multiply by $5 and judge the slot.,Economy,On Discard,,,1,1,1,57
Fibonacci,Uncommon,8,"Each played Ace, 2, 3, 5, or 8 gives +8 Mult when scored",+Mult,no,+mult|aces,Fibonacci.png,Mult Battery,+8 Mult on each scored A/2/3/5/8 — a rank-based engine that quietly loves straights (A-2-3-4-5 hits three Fibs). Sculpt ranks toward the sequence and it stacks fast.,Optimizer: play A-2-3-5-8 'garbage' with Fibonacci vs. your best normal hand without it. Enjoy the result.,Additive Mult,On Scored,,,1,1,1,31
Flash Card,Uncommon,5,This Joker gains +2 Mult per reroll in the shop,+Mult,yes,+mult|scaling|shop,Flash_Card.png,Scaling Engine,Gains +2 Mult per shop reroll — turns reroll costs into stat points. Reroll-heavy players get paid twice: better shops AND a growing engine.,Enter its current +Mult each ante — does aggressive rerolling scale it past a flat +15 by ante 5?,Additive Mult,Independent,,,1,0,1,96
Flower Pot,Uncommon,6,"X3 Mult if poker hand contains a Diamonds card, Clubs card, Hearts card, and Spades card",xMult,no,suit:Clubs|suit:Diamonds|suit:Hearts|suit:Spades|xmult,Flower_Pot.png,xMult Payoff,×3 when all four suits score — rainbow hands on demand. Wild cards make it consistent; four-suit straights and junk 'rainbow' plays become premium hands.,Optimizer: a deliberately rainbow High Card+stones play with ×3 vs. your mono-suit flush. Closer than you think?,Multiplicative Mult,Independent,Reach Ante level 8,,1,1,1,122
Fortune Teller,Common,6,+1 Mult per Tarot card used this run,+Mult,yes,+mult|scaling|tarot,Fortune_Teller.png,Scaling Engine,+1 Mult per Tarot used this run — a pedometer for your sculpting habit. In Tarot-heavy builds it's a free +15 by midgame.,Count Tarots used so far; enter it in the optimizer. Is your habit already outscoring a purchased +Mult joker?,Additive Mult,Independent,,,1,1,1,86
Four Fingers,Uncommon,7,All Flushes and Straights can be made with 4 cards,Utility,no,hand:Straight|straights,Four_Fingers.png,Rule Bender,4-card flushes and straights change the entire hand-assembly math — you complete 25% more often and free a slot for a steel/glass passenger in every 'full' hand.,Optimizer with Four Fingers on: your 4-card flush + 1 payoff passenger vs. a natural 5-card flush.,Effect,N/A (Passive),,,0,1,1,18
Gift Card,Uncommon,6,Add $1 of sell value to every Joker and Consumable card at end of round,Economy,no,consumables|economy|joker-synergy,Gift_Card.png,Economy,+$1 sell value to every joker and consumable each round — inflation for your whole shelf. Rewards wide boards you'll eventually liquidate.,"Before a big re-shelf, total the added sell value across the board — did Gift Card pay more than an Egg would have?",Economy,N/A (Passive),,,0,1,1,79
Glass Joker,Uncommon,6,This Joker gains X0.75 Mult for every Glass Card that is destroyed,xMult,yes,destruction|enhancements|scaling|xmult,Glass_Joker.png,Scaling Engine,"Gains ×0.75 per Glass card destroyed — the reason to CRACK glass, not protect it. Justice-enhanced junk cards become fuel: play them, break them, scale forever.",Enter its current × after each shatter. Two breaks ≈ ×2.5 — check in the optimizer what that does to your closer.,Multiplicative Mult,Independent,Have at least 5 Glass Cards in your deck,,1,0,1,120
Gluttonous Joker,Common,5,Played cards with Clubs suit give +3 Mult when scored,+Mult,no,+mult|suit:Clubs,Gluttonous_Joker.png,Mult Battery,+3 Mult per scored Club — suit-mult filler. Only as good as your Club density; pairs naturally with The Moon tarot sculpting.,Optimizer: your club flush with Gluttonous vs. without — then decide if the slot earns more than a scaler.,Additive Mult,On Scored,,,1,1,1,5
Golden Joker,Common,6,Earn $4 at end of round,Economy,no,economy,Golden_Joker.png,Economy,"Flat $4 per round — the benchmark all economy jokers are measured against. Boring, dependable, and exactly $4 better than nothing.","Multiply remaining rounds × $4. If a shop joker can't beat that total in value, keep the gold.",Economy,N/A (Passive),,,0,1,1,90
Golden Ticket,Common,5,Played Gold cards earn $4 when scored,Economy,no,economy|enhancements,Golden_Ticket.png,Economy,$4 per scored Gold card — makes Gold enhancement worth playing instead of just holding. Needs deliberate Devil-tarot investment to matter.,Count your gold cards; estimate scored-per-round. Does the payout beat Golden Joker's flat $4? Usually needs 2+.,Economy,On Scored,Play a 5 card hand that contains only Gold cards,,1,1,1,106
Greedy Joker,Common,5,Played cards with Diamonds suit give +3 Mult when scored,+Mult,no,+mult|suit:Diamonds,Greedy_Joker.png,Mult Battery,"+3 Mult per scored Diamond — same family as the other suit-mults. Buy to match your suit plan, not the other way around.",Optimizer: quantify one round of diamond plays with vs. without — filler jokers deserve exact numbers too.,Additive Mult,On Scored,,,1,1,1,2
Green Joker,Common,4,"+1 Mult per hand played, -1 Mult per discard",+Mult,yes,+mult|discards|scaling,Green_Joker.png,Scaling Engine,"+1 Mult per hand played, -1 per discard — a metronome that rewards playing fast and loose with discards. Grows forever if you protect it.",Enter its current value each ante. Theory: no-discard play makes Green outgrow Ride the Bus. Race them mentally.,Additive Mult,Mixed,,,1,0,1,58
Gros Michel,Common,5,"+15 Mult, 1 in 6 chance this card is destroyed at end of round",+Mult,no,+mult|destruction|probability,Gros_Michel.png,Mult Battery,"+15 Mult with a 1-in-6 chance of dying each round. Great rate, real risk — ride it early, but never build a late-game plan on a banana.",Expected lifespan ≈ 6 rounds. Did yours beat the odds? Log it — and never trust it for a boss you can't lose.,Additive Mult,Independent,,1 in 6,1,1,0,38
Hack,Uncommon,6,"Retrigger each played 2, 3, 4, or 5",Retrigger,no,retrigger,Hack.png,Retrigger,"Retriggers every scored 2/3/4/5 — low ranks score twice. Combined with Fibonacci (2,3,5) or lucky/steel low cards it turns 'bad' cards into the good cards.",Optimizer: 2-3-4-5-x straight with Hack vs. 10-J-Q-K-A — the low straight wins by more than you'd guess.,Retrigger,On Scored,,,1,1,1,36
Half Joker,Common,5,+20 Mult if played hand contains 3 or fewer cards,+Mult,no,+mult,Half_Joker.png,Mult Battery,"+20 Mult when playing 3 or fewer cards — pays you to play small. Absurd with strong pairs and held-card engines (Baron): tiny plays, big holds.","Optimizer: 2-card pair + Half Joker + held Kings vs. a full 5-card hand — small-ball vs. big hand, head to head.",Additive Mult,Independent,,,1,1,1,16
Hallucination,Common,4,1 in 2 chance to create a Tarot card when any Booster Pack is opened (Must have room),Utility,no,probability|tarot,Hallucination.png,Consumable Engine,Coin-flip Tarot on every pack opened — passive sculpting income for players already buying packs. Zero effect if you skip shops.,"Track 5 packs: Tarots gained vs. the joker slot's opportunity cost. It's a rider, never a reason.",Effect,N/A (Passive),,1 in 2,1,1,1,85
Hanging Chad,Common,4,Retrigger first played card used in scoring 2 additional times,Retrigger,no,retrigger,Hanging_Chad.png,Retrigger,"Retriggers the FIRST scored card twice more — position play. Lead every hand with your most loaded card: glass, steel-adjacent, holo, lucky.","Optimizer: put your polychrome card first vs. last in the played order — same cards, different score. Order is a stat.",Retrigger,On Scored,Beat a Boss Blind with a High Card,,1,1,1,115
Hiker,Uncommon,5,Every played card permanently gains +5 Chips when scored,+Chips,yes,+chips|scaling,Hiker.png,Deck Sculptor,"Every played card permanently gains +5 chips — your deck itself levels up. Favors playing MANY cards (Splash, five-card hands) and long runs; compounding you can feel by ante 6.","Theory: by ante 5, Hiker has added +150 total chips across your regulars. Spot-check your most-played cards.",Chips,On Scored,,,1,1,1,56
Hit the Road,Rare,8,This Joker gains X0.5 Mult for every Jack discarded this round,xMult,yes,discards|face-cards|scaling|xmult,Hit_the_Road.png,Scaling Engine,"Gains ×0.5 per discarded Jack this round — a per-round crescendo. Hoard Jacks, dump them in one round where you need a monster, accept the reset.","Discard 3 Jacks (×2.5), enter it in the optimizer on your closer — plan exactly which blind deserves the show.",Multiplicative Mult,Mixed,Discard 5 Jacks at the same time.,,1,1,1,130
Hologram,Uncommon,7,This Joker gains X0.25 Mult every time a playing card is added to your deck,xMult,yes,deck-size|scaling|xmult,Hologram.gif,Scaling Engine,"Gains ×0.25 per card ADDED to your deck — the anti-thinning engine. Standard packs, Certificate, DNA all feed it; a fat-deck philosophy with a multiplier attached.",Enter its current × each ante. Theory: 8 added cards (×3) beats any static joker in the shop. Watch it come true.,Multiplicative Mult,Independent,,,1,0,1,70
Ice Cream,Common,5,"+100 Chips, -5 Chips for every hand played",+Chips,no,+chips,Ice_Cream.png,Chip Battery,"+100 chips melting -5 per hand — strongest the moment you buy it. It's a rental: great for surviving THIS ante, gone in ~20 hands. Buy for emergencies, not futures.",It hits zero in 20 hands. Count hands-per-ante in your log — how many antes is Ice Cream actually worth?,Chips,Independent,,,1,1,0,50
Invisible Joker,Rare,8,"After 2 rounds, sell this card to Duplicate a random Joker (Removes Negative from copy)",Utility,no,joker-synergy,Invisible_Joker.png,Utility/Glue,"After 2 rounds, sell it to DUPLICATE a random joker — a lottery ticket that copies your board. Best on boards with one obvious jackpot and no duds to accidentally clone.","Before selling: list your board. If fewer than half are worth duplicating, the coin flip is against you.",Effect,N/A (Passive),Win a run without ever having more than 4 Jokers,,0,1,0,137
Joker,Common,2,+4 Mult,+Mult,no,+mult,Joker.png,Mult Battery,"+4 Mult, no questions asked. The tutorial joker — and still correct to buy on ante 1 when the alternative is nothing. Replace without ceremony.",Optimizer: measure exactly when +4 stops mattering on your curve. It's earlier than sentiment suggests.,Additive Mult,Independent,,,1,1,1,1
Joker Stencil,Uncommon,8,"X1 Mult for each empty Joker slot, Joker Stencil included",xMult,no,joker-synergy|xmult,Joker_Stencil.png,xMult Payoff,×1 per EMPTY joker slot — power through minimalism. A 1-2 joker board with Stencil beats many full boards; the discipline is not buying things.,Optimizer: Stencil at ×4 (empty board) vs. your usual 5-joker spread. Let the math argue with your hoarding instinct.,Multiplicative Mult,Independent,,,1,1,1,17
Jolly Joker,Common,3,+8 Mult if played hand contains a Pair,+Mult,no,+mult|hand:Pair,Jolly_Joker.png,Mult Battery,+8 Mult on Pairs — the humble start of every pair-spam build. Cheap and cheerful; graduates to the sell pile by mid-run.,"Optimizer: Jolly on a lvl-3 Pair vs. The Duo's ×2 — find the crossover, sell on schedule.",Additive Mult,Independent,,,1,1,1,6
